t (s),V (mV),,t (s),V (mV),t (s),V (mV)
0,12.8389,,0,2.552479625,0,4.000000105
1,12.8154,,1,2.550647573,1,3.998168053
2,12.7912,,2,2.548757434,2,3.996277914
2.999,12.7683,,2.999,2.546965537,2.999,3.994486017
3.999,12.7432,,3.999,2.544997796,3.999,3.992518276
5,12.7188,,5,2.543081214,5,3.990601694
6,12.6943,,6,2.541153074,6,3.988673554
7,12.6709,,7,2.539308026,7,3.986828506
8,12.6464,,8,2.53737259,8,3.98489307
9,12.6217,,9,2.535417555,9,3.982938035
10,12.5978,,10,2.533522196,10,3.981042676
11,12.574,,11,2.53163119,11,3.97915167
12,12.5498,,12,2.529704729,12,3.977225209
13,12.5263,,13,2.527830434,13,3.975350914
14,12.5024,,14,2.525920626,14,3.973441106
15,12.4787,,15,2.524023191,15,3.971543671
16,12.4547,,16,2.522098062,16,3.969618542
17,12.431,,17,2.520193353,17,3.967713833
18,12.4069,,18,2.518252769,18,3.965773249
19,12.3838,,19,2.516389167,19,3.963909647
20,12.36,,20,2.514465452,20,3.961985932
20.999,12.3362,,20.999,2.512538029,20.999,3.960058509
22,12.3125,,22,2.510615006,22,3.958135486
23,12.2903,,23,2.508810333,23,3.956330813
23.999,12.266,,23.999,2.506831207,23.999,3.954351687
25,12.2437,,25,2.505011519,25,3.952531999
26,12.2192,,26,2.503008485,26,3.950528965
26.999,12.1969,,26.999,2.501181821,26.999,3.948702301
27.999,12.1734,,27.999,2.499253243,27.999,3.946773723
29,12.1504,,29,2.497362091,29,3.944882571
30,12.1274,,30,2.495467355,30,3.942987835
31,12.1053,,31,2.493643373,31,3.941163853
32,12.0813,,32,2.491658803,32,3.939179283
33,12.0577,,33,2.48970346,33,3.93722394
33.999,12.0346,,33.999,2.487785834,33.999,3.935306314
35,12.0116,,35,2.48587285,35,3.93339333
36,11.9882,,36,2.483922833,36,3.931443313
37,11.9651,,37,2.481994079,37,3.929514559
37.999,11.9424,,37.999,2.480095093,37.999,3.927615573
39,11.9187,,39,2.478108595,39,3.925629075
40,11.8959,,40,2.476193803,40,3.923714283
40.999,11.8733,,40.999,2.474292182,40.999,3.921812662
42,11.8498,,42,2.47231099,42,3.91983147
42.999,11.8275,,42.999,2.470427329,42.999,3.917947809
43.999,11.8048,,43.999,2.468506228,43.999,3.916026708
45,11.7812,,45,2.466505041,45,3.914025521
45.999,11.7589,,45.999,2.464610401,45.999,3.912130881
47,11.7368,,47,2.462729205,47,3.910249685
48,11.7142,,48,2.460801781,48,3.908322261
48.999,11.6918,,48.999,2.458887741,48.999,3.906408221
49.999,11.6691,,49.999,2.456944323,49.999,3.904464803
51,11.6467,,51,2.455022878,51,3.902543358
51.999,11.6245,,51.999,2.45311494,51.999,3.90063542
53,11.6027,,53,2.45123783,53,3.89875831
54,11.5801,,54,2.449288108,54,3.896808588
54.999,11.5573,,54.999,2.447317272,54.999,3.894837752
56,11.5365,,56,2.445515922,56,3.893036402
57,11.5139,,57,2.443555001,57,3.891075481
57.999,11.4916,,57.999,2.441616334,57.999,3.889136814
58.999,11.4696,,58.999,2.439700057,58.999,3.887220537
60,11.4479,,60,2.437806307,60,3.885326787
61,11.4259,,61,2.435882708,61,3.883403188
62,11.404,,62,2.433964171,62,3.881484651
63,11.3829,,63,2.432112229,63,3.879632709
64,11.3613,,64,2.430212843,64,3.877733323
65,11.338,,65,2.428159916,65,3.875680396
66,11.3169,,66,2.426297184,66,3.873817664
66.999,11.2957,,66.999,2.424422122,66.999,3.871942602
68,11.2738,,68,2.42248145,68,3.87000193
69,11.2524,,69,2.420581439,69,3.868101919
70,11.2301,,70,2.418597673,70,3.866118153
71,11.2091,,71,2.416725948,71,3.864246428
72,11.1873,,72,2.414779206,72,3.862299686
73,11.1667,,73,2.412936135,73,3.860456615
74,11.1446,,74,2.410955076,74,3.858475556
75,11.1239,,75,2.409095947,75,3.856616427
75.999,11.103,,75.999,2.407215342,75.999,3.854735822
76.999,11.0815,,76.999,2.405277051,76.999,3.852797531
78,11.0615,,78,2.403470611,78,3.850991091
79,11.0409,,79,2.401606559,79,3.849127039
80,11.0202,,80,2.399729952,80,3.847250432
81,10.9997,,81,2.397868,81,3.84538848
82,10.9793,,82,2.396011682,82,3.843532162
83,10.9589,,83,2.394151912,83,3.841672392
84,10.9383,,84,2.392270392,84,3.839790872
85,10.9174,,85,2.390357847,85,3.837878327
85.999,10.8969,,85.999,2.388478345,85.999,3.835998825
86.999,10.8763,,86.999,2.38658611,86.999,3.83410659
88,10.8556,,88,2.384681076,88,3.832201556
89,10.8356,,89,2.38283701,89,3.83035749
89.999,10.8144,,89.999,2.380878579,89.999,3.828399059
90.999,10.7944,,90.999,2.379027481,90.999,3.826547961
92,10.7749,,92,2.377219355,92,3.824739835
93,10.7542,,93,2.375296376,93,3.822816856
93.999,10.7339,,93.999,2.373406958,93.999,3.820927438
95,10.7141,,95,2.371560631,95,3.819081111
96.001,10.6944,,96.001,2.36972024,96.001,3.81724072
97,10.6747,,97,2.367876456,97,3.815396936
98,10.6546,,98,2.365991724,98,3.813512204
99,10.6336,,99,2.364018799,99,3.811539279
100,10.6126,,100,2.362041974,100,3.809562454
100.999,10.5928,,100.999,2.360174525,100.999,3.807695005
101.999,10.5728,,101.999,2.358284665,101.999,3.805805145
102.998,10.5522,,102.998,2.356334369,102.998,3.803854849
103.999,10.5319,,103.999,2.354408747,103.999,3.801929227
104.998,10.5123,,104.998,2.352546,104.998,3.80006648
105.998,10.492,,105.998,2.350613062,105.998,3.798133542
106.998,10.4726,,106.998,2.348762323,106.998,3.796282803
107.999,10.4526,,107.999,2.346850751,107.999,3.794371231
108.998,10.4328,,108.998,2.344954689,108.998,3.792475169
109.998,10.4124,,109.998,2.342997404,109.998,3.790517884
110.999,10.3936,,110.999,2.341190232,110.999,3.788710712
111.998,10.3735,,111.998,2.339254477,111.998,3.786774957
112.998,10.3531,,112.998,2.337285992,112.998,3.784806472
113.999,10.3334,,113.999,2.335381367,113.999,3.782901847
114.998,10.3143,,114.998,2.333531282,114.998,3.781051762
115.999,10.2946,,115.999,2.331619486,115.999,3.779139966
116.999,10.2751,,116.999,2.329723493,116.999,3.777243973
117.999,10.2552,,117.999,2.327784894,117.999,3.775305374
118.999,10.2357,,118.999,2.32588161,118.999,3.77340209
119.999,10.2176,,119.999,2.324111724,119.999,3.771632204
120.999,10.1993,,120.999,2.32231909,120.999,3.76983957
121.998,10.1796,,121.998,2.320385718,121.998,3.767906198
122.999,10.1614,,122.999,2.318596228,122.999,3.766116708
123.999,10.1431,,123.999,2.316793671,123.999,3.764314151
124.998,10.125,,124.998,2.315007613,124.998,3.762528093
125.999,10.1059,,125.999,2.313119412,125.999,3.760639892
126.998,10.0874,,126.998,2.31128712,126.998,3.7588076
127.999,10.0694,,127.999,2.309501122,127.999,3.757021602
128.999,10.0493,,128.999,2.30750298,128.999,3.75502346
129.999,10.0316,,129.999,2.305740111,129.999,3.753260591
130.999,10.0126,,130.999,2.3038443,130.999,3.75136478
132,9.9944,,132,2.302024936,132,3.749545416
133,9.9754,,133,2.300122062,133,3.747642542
134,9.9575,,134,2.298326036,134,3.745846516
135,9.9386,,135,2.296426166,135,3.743946646
136,9.9195,,136,2.294502517,136,3.742022997
137,9.9013,,137,2.292666062,137,3.740186542
138,9.8825,,138,2.290765516,138,3.738285996
138.999,9.8642,,138.999,2.288912041,138.999,3.736432521
140,9.8443,,140,2.286892607,140,3.734413087
141,9.8266,,141,2.285092994,141,3.732613474
142,9.8077,,142,2.283167791,142,3.730688271
142.999,9.7894,,142.999,2.281300168,142.999,3.728820648
144,9.7695,,144,2.279265288,144,3.726785768
144.999,9.7521,,144.999,2.277482646,144.999,3.725003126
146,9.7329,,146,2.275511899,146,3.723032379
147,9.7151,,147,2.273681376,147,3.721201856
148,9.6966,,148,2.271775309,148,3.719295789
149,9.6781,,149,2.269865601,149,3.717386081
150,9.6599,,150,2.267983296,150,3.715503776
151,9.6404,,151,2.265962602,151,3.713483082
152,9.6229,,152,2.264145675,152,3.711666155
153,9.6056,,153,2.262346262,153,3.709866742
154,9.5875,,154,2.260460167,154,3.707980647
155,9.5703,,155,2.258664553,155,3.706185033
155.999,9.5525,,155.999,2.2568029,155.999,3.70432338
156.999,9.535,,156.999,2.254969239,156.999,3.702489719
157.999,9.5183,,157.999,2.253216261,157.999,3.700736741
159,9.4999,,159,2.251281272,159,3.698801752
160,9.4832,,160,2.249521812,160,3.697042292
161,9.4663,,161,2.247738123,161,3.695258603
162,9.4486,,162,2.245866582,162,3.693387062
163,9.4313,,163,2.244033945,163,3.691554425
164,9.4134,,164,2.242134206,164,3.689654686
165,9.3962,,165,2.240305352,165,3.687825832
166,9.3795,,166,2.238526457,166,3.686046937
167,9.3622,,167,2.236680306,167,3.684200786
168,9.345,,168,2.234841441,168,3.682361921
169,9.328,,169,2.23302063,169,3.68054111
170,9.3109,,170,2.231185757,170,3.678706237
171,9.2931,,171,2.229272189,171,3.676792669
172,9.276,,172,2.227430419,172,3.674950899
173,9.2584,,173,2.225531248,173,3.673051728
174,9.2413,,174,2.223682568,174,3.671203048
175,9.2236,,175,2.221765417,175,3.669285897
175.999,9.2065,,175.999,2.219909756,175.999,3.667430236
176.999,9.1884,,176.999,2.217941819,176.999,3.665462299
177.999,9.1718,,177.999,2.216133559,177.999,3.663654039
179,9.1542,,179,2.21421279,179,3.66173327
180,9.1366,,180,2.212288325,180,3.659808805
181,9.1198,,181,2.210447874,181,3.657968354
182,9.1026,,182,2.208560087,182,3.656080567
183,9.0862,,183,2.206756779,183,3.654277259
184,9.0686,,184,2.204817897,184,3.652338377
185,9.0516,,185,2.202941538,185,3.650462018
186,9.0346,,186,2.201061651,186,3.648582131
187,9.018,,187,2.19922258,187,3.64674306
188,9.0007,,188,2.197302352,188,3.644822832
189,8.9835,,189,2.195389561,189,3.642910041
189.999,8.9679,,189.999,2.193651535,189.999,3.641172015
191,8.9505,,191,2.191709397,191,3.639229877
192,8.9343,,192,2.189897802,192,3.637418282
192.999,8.9177,,192.999,2.188038066,192.999,3.635558546
194,8.9019,,194,2.186264737,194,3.633785217
195,8.8852,,195,2.184386971,195,3.631907451
196,8.8708,,196,2.182764984,196,3.630285464
196.999,8.8545,,196.999,2.180925804,196.999,3.628446284
198,8.8384,,198,2.179105865,198,3.626626345
199,8.8227,,199,2.177327946,199,3.624848426
200,8.8064,,200,2.17547873,200,3.62299921
201,8.7904,,201,2.173660217,201,3.621180697
201.999,8.7745,,201.999,2.171849788,201.999,3.619370268
203,8.7587,,203,2.170047492,203,3.617567972
204,8.7427,,204,2.168219066,204,3.615739546
205,8.7268,,205,2.166398751,205,3.613919231
206,8.7117,,206,2.16466695,206,3.61218743
206.999,8.6951,,206.999,2.162759649,206.999,3.610280129
208,8.6799,,208,2.161010008,208,3.608530488
209,8.6632,,209,2.159084169,209,3.606604649
210,8.6463,,210,2.157131484,210,3.604651964
211,8.6301,,211,2.155256093,211,3.602776573
212,8.614,,212,2.153388787,212,3.600909267
213,8.5971,,213,2.151424937,213,3.598945417
214,8.5808,,214,2.149527149,214,3.597047629
215,8.5648,,215,2.147660781,215,3.595181261
215.999,8.5501,,215.999,2.145942979,215.999,3.593463459
217,8.5332,,217,2.143964438,217,3.591484918
218,8.5172,,218,2.142087648,218,3.589608128
218.999,8.5006,,218.999,2.140136749,218.999,3.587657229
220,8.4855,,220,2.138358824,220,3.585879304
221,8.4699,,221,2.136518702,221,3.584039182
222,8.4552,,222,2.134781637,222,3.582302117
223,8.4406,,223,2.133053396,223,3.580573876
224,8.4248,,224,2.131179737,224,3.578700217
225,8.4101,,225,2.129433365,225,3.576953845
225.999,8.3947,,225.999,2.127600554,225.999,3.575121034
227,8.3798,,227,2.125824048,227,3.573344528
228,8.3649,,228,2.12404438,228,3.57156486
229,8.3498,,229,2.122237586,229,3.569758066
230,8.3357,,230,2.120547496,230,3.568067976
231,8.3207,,231,2.118746386,231,3.566266866
232,8.3058,,232,2.116954066,232,3.564474546
233,8.2907,,233,2.115134405,233,3.562654885
234,8.2752,,234,2.11326309,234,3.56078357
235,8.2606,,235,2.111497224,235,3.559017704
235.999,8.244,,235.999,2.109485663,235.999,3.557006143
237,8.2295,,237,2.10772526,237,3.55524574
237.999,8.2144,,237.999,2.105888712,237.999,3.553409192
239,8.1994,,239,2.104060981,239,3.551581461
239.999,8.1835,,239.999,2.102119932,239.999,3.549640412
241,8.1688,,241,2.100322019,241,3.547842499
242,8.1524,,242,2.098312362,242,3.545832842
243,8.1377,,243,2.096507585,243,3.544028065
243.999,8.1229,,243.999,2.094687233,243.999,3.542207713
245,8.1076,,245,2.092801893,245,3.540322373
245.999,8.0926,,245.999,2.090950064,245.999,3.538470544
247,8.0761,,247,2.088909083,247,3.536429563
247.999,8.0623,,247.999,2.087198876,247.999,3.534719356
249,8.0469,,249,2.085286924,249,3.532807404
249.999,8.0319,,249.999,2.083421113,249.999,3.530941593
251,8.018,,251,2.081689014,251,3.529209494
252,8.0036,,252,2.07989144,252,3.52741192
253,7.9884,,253,2.077990489,253,3.525510969
254,7.9753,,254,2.076349266,254,3.523869746
254.999,7.9613,,254.999,2.074592303,254.999,3.522112783
256,7.9479,,256,2.072907743,256,3.520428223
257,7.9323,,257,2.070943031,257,3.518463511
257.999,7.9187,,257.999,2.069227051,257.999,3.516747531
259,7.9051,,259,2.067508121,259,3.515028601
260,7.8909,,260,2.065710197,260,3.513230677
260.999,7.8769,,260.999,2.063934425,260.999,3.511454905
262,7.8632,,262,2.062193648,262,3.509714128
263,7.8496,,263,2.060462575,263,3.507983055
263.999,7.8351,,263.999,2.058613639,263.999,3.506134119
265,7.8202,,265,2.05671013,265,3.50423061
266,7.8067,,266,2.054982339,266,3.502502819
267,7.7911,,267,2.052982057,267,3.500502537
268,7.7768,,268,2.051144943,268,3.498665423
269,7.7639,,269,2.049484785,269,3.497005265
270,7.7478,,270,2.047408932,270,3.494929412
271,7.7333,,271,2.04553568,271,3.49305616
272,7.7197,,272,2.043775503,272,3.491295983
272.999,7.7052,,272.999,2.041895426,272.999,3.489415906
274,7.6906,,274,2.039998804,274,3.487519284
275,7.6766,,275,2.038176741,275,3.485697221
276,7.6627,,276,2.036364402,276,3.483884882
276.999,7.6489,,276.999,2.034561847,276.999,3.482082327
278,7.636,,278,2.032873906,278,3.480394386
279,7.6223,,279,2.031078161,279,3.478598641
280,7.6096,,280,2.029410608,280,3.476931088
281,7.5963,,281,2.027661287,281,3.475181767
282,7.5827,,282,2.025869337,282,3.473389817
283,7.5699,,283,2.024179857,283,3.471700337
283.999,7.5567,,283.999,2.022434587,283.999,3.469955067
285,7.5427,,285,2.020580208,285,3.468100688
286,7.5295,,286,2.018828639,286,3.466349119
287,7.5168,,287,2.017140515,287,3.464660995
287.999,7.504,,287.999,2.015436212,287.999,3.462956692
289,7.4902,,289,2.013595499,289,3.461115979
290,7.4769,,290,2.011818268,290,3.459338748
291,7.4635,,291,2.010024473,291,3.457544953
292,7.4489,,292,2.00806637,292,3.45558685
293,7.4355,,293,2.006265827,293,3.453786307
294,7.4219,,294,2.004435089,294,3.451955569
295,7.407,,295,2.002425499,295,3.449945979
296,7.3948,,296,2.00077705,296,3.44829753
297,7.3809,,297,1.998895582,297,3.446416062
298,7.3667,,298,1.996969845,298,3.444490325
299,7.3537,,299,1.995203588,299,3.442724068
299.999,7.34,,299.999,1.993338843,299.999,3.440859323
301,7.3259,,301,1.991416014,301,3.438936494
302,7.3132,,302,1.989680934,302,3.437201414
303,7.3005,,303,1.987942839,303,3.435463319
303.999,7.2869,,303.999,1.986078216,303.999,3.433598696
305,7.2744,,305,1.984361335,305,3.431881815
306,7.2613,,306,1.982558876,306,3.430079356
307,7.2488,,307,1.980835938,307,3.428356418
308,7.2365,,308,1.979137664,308,3.426658144
309,7.2229,,309,1.977256534,309,3.424777014
310,7.2105,,310,1.975538297,310,3.423058777
310.999,7.1976,,310.999,1.973747637,310.999,3.421268117
311.999,7.1853,,311.999,1.972037272,311.999,3.419557752
313,7.1735,,313,1.970393681,313,3.417914161
314,7.1606,,314,1.968593776,314,3.416114256
315,7.1478,,315,1.966804617,315,3.414325097
315.999,7.1354,,315.999,1.965068311,315.999,3.412588791
316.999,7.1225,,316.999,1.963258787,316.999,3.410779267
318,7.1104,,318,1.961558501,318,3.409078981
319,7.0978,,319,1.959784877,319,3.407305357
320,7.0862,,320,1.958149231,320,3.405669711
321,7.0731,,321,1.956298856,321,3.403819336
322,7.0606,,322,1.954530034,322,3.402050514
322.999,7.0471,,322.999,1.952616185,322.999,3.400136665
324,7.0345,,324,1.950826615,324,3.398347095
325,7.0227,,325,1.949147759,325,3.396668239
326,7.0086,,326,1.947137966,326,3.394658446
327,6.9969,,327,1.945467194,327,3.392987674
327.999,6.9833,,327.999,1.943521584,327.999,3.391042064
328.999,6.9712,,328.999,1.941787376,328.999,3.389307856
